name,b1fps_int8_22WW51.1,b1fps_fp16_22WW51.1,b1fps_fp32_22WW51.1,b16fps_int8_22WW51.1,b16fps_fp16_22WW51.1,b16fps_fp32_22WW51.1,b32fps_int8_22WW51.1,b32fps_fp16_22WW51.1,b32fps_fp32_22WW51.1,b1fps_cldnn_int8_22WW51.1,b1fps_cldnn_fp16_22WW51.1,b1fps_cldnn_fp32_22WW51.1,b16fps_cldnn_int8_22WW51.1,b16fps_cldnn_fp16_22WW51.1,b16fps_cldnn_fp32_22WW51.1,b32fps_cldnn_int8_22WW51.1,b32fps_cldnn_fp16_22WW51.1,b32fps_cldnn_fp32_22WW51.1,b1fps_int8_23WW01.4,b1fps_fp16_23WW01.4,b1fps_fp32_23WW01.4,b16fps_int8_23WW01.4,b16fps_fp16_23WW01.4,b16fps_fp32_23WW01.4,b32fps_int8_23WW01.4,b32fps_fp16_23WW01.4,b32fps_fp32_23WW01.4,b1fps_cldnn_int8_23WW01.4,b1fps_cldnn_fp16_23WW01.4,b1fps_cldnn_fp32_23WW01.4,b16fps_cldnn_int8_23WW01.4,b16fps_cldnn_fp16_23WW01.4,b16fps_cldnn_fp32_23WW01.4,b32fps_cldnn_int8_23WW01.4,b32fps_cldnn_fp16_23WW01.4,b32fps_cldnn_fp32_23WW01.4,b1fps_int8_23WW03.4,b1fps_fp16_23WW03.4,b1fps_fp32_23WW03.4,b16fps_int8_23WW03.4,b16fps_fp16_23WW03.4,b16fps_fp32_23WW03.4,b32fps_int8_23WW03.4,b32fps_fp16_23WW03.4,b32fps_fp32_23WW03.4,b1fps_cldnn_int8_23WW03.4,b1fps_cldnn_fp16_23WW03.4,b1fps_cldnn_fp32_23WW03.4,b16fps_cldnn_int8_23WW03.4,b16fps_cldnn_fp16_23WW03.4,b16fps_cldnn_fp32_23WW03.4,b32fps_cldnn_int8_23WW03.4,b32fps_cldnn_fp16_23WW03.4,b32fps_cldnn_fp32_23WW03.4,b1fps_int8_23WW06.1,b1fps_fp16_23WW06.1,b1fps_fp32_23WW06.1,b16fps_int8_23WW06.1,b16fps_fp16_23WW06.1,b16fps_fp32_23WW06.1,b32fps_int8_23WW06.1,b32fps_fp16_23WW06.1,b32fps_fp32_23WW06.1,b1fps_cldnn_int8_23WW06.1,b1fps_cldnn_fp16_23WW06.1,b1fps_cldnn_fp32_23WW06.1,b16fps_cldnn_int8_23WW06.1,b16fps_cldnn_fp16_23WW06.1,b16fps_cldnn_fp32_23WW06.1,b32fps_cldnn_int8_23WW06.1,b32fps_cldnn_fp16_23WW06.1,b32fps_cldnn_fp32_23WW06.1,b1fps_int8_23WW07.2,b1fps_fp16_23WW07.2,b1fps_fp32_23WW07.2,b16fps_int8_23WW07.2,b16fps_fp16_23WW07.2,b16fps_fp32_23WW07.2,b32fps_int8_23WW07.2,b32fps_fp16_23WW07.2,b32fps_fp32_23WW07.2,b1fps_cldnn_int8_23WW07.2,b1fps_cldnn_fp16_23WW07.2,b1fps_cldnn_fp32_23WW07.2,b16fps_cldnn_int8_23WW07.2,b16fps_cldnn_fp16_23WW07.2,b16fps_cldnn_fp32_23WW07.2,b32fps_cldnn_int8_23WW07.2,b32fps_cldnn_fp16_23WW07.2,b32fps_cldnn_fp32_23WW07.2
DLRM,,2106.53,1996.76,,-1.0,-1.0,,-1.0,-1.0,,1736.96,1674.33,,-1.0,-1.0,,-1.0,-1.0,,2166.92,2009.49,,-1.0,-1.0,,-1.0,-1.0,,1736.96,1674.33,,-1.0,-1.0,,-1.0,-1.0,,2154.57,2022.54,,-1.0,-1.0,,-1.0,-1.0,,1736.96,1674.33,,-1.0,-1.0,,-1.0,-1.0,,2585.55,2662.25,,-1.0,-1.0,,-1.0,-1.0,,1736.96,1674.33,,-1.0,-1.0,,-1.0,-1.0,,3036.91,3067.1,,-1.0,-1.0,,-1.0,-1.0,,1736.96,1674.33,,-1.0,-1.0,,-1.0,-1.0
DeeperCut,,66.84,24.13,,128.85,26.92,,147.12,25.51,,42.69,23.95,,-1.0,26.64,,-1.0,25.5,,68.38,26.05,,128.81,26.46,,148.1,28.17,,42.69,23.95,,-1.0,26.64,,-1.0,25.5,,68.42,26.08,,127.95,27.13,,147.24,28.21,,42.69,23.95,,-1.0,26.64,,-1.0,25.5,,68.47,26.09,,130.41,27.73,,150.04,28.02,,42.69,23.95,,-1.0,26.64,,-1.0,25.5,,72.53,26.59,,132.2,28.28,,151.75,29.11,,42.69,23.95,,-1.0,26.64,,-1.0,25.5
aclnet,3354.01,3072.43,2243.69,,,,17862.8,13075.72,4479.79,2986.74,2545.16,1876.68,,,,9612.05,5171.56,4626.04,3405.17,3097.24,2111.85,,,,17919.62,12742.6,4560.35,2986.74,2545.16,1876.68,,,,9612.05,5171.56,4626.04,3380.37,3071.72,2120.42,,,,18130.98,12653.49,4567.36,2986.74,2545.16,1876.68,,,,9612.05,5171.56,4626.04,3399.41,3084.75,2108.17,,,,18097.06,12436.93,4581.2,2986.74,2545.16,1876.68,,,,9612.05,5171.56,4626.04,3630.08,3372.27,2246.64,,,,18777.07,13677.25,4646.02,2986.74,2545.16,1876.68,,,,9612.05,5171.56,4626.04
anti-spoof-mn3,2561.26,,,,,,24481.26,,,944.94,,,,,,16332.02,,,2517.98,,,,,,24612.34,,,944.94,,,,,,16332.02,,,2554.61,,,,,,27895.71,,,944.94,,,,,,16332.02,,,2033.93,,,,,,31256.19,,,944.94,,,,,,16332.02,,,2002.09,,,,,,30348.88,,,944.94,,,,,,16332.02,,
asl-recognition-0003,406.09,,,,,,366.24,,,258.74,,,,,,321.93,,,408.65,,,,,,366.75,,,258.74,,,,,,321.93,,,401.49,,,,,,362.63,,,258.74,,,,,,321.93,,,404.1,,,,,,385.71,,,258.74,,,,,,321.93,,,386.93,,,,,,388.13,,,258.74,,,,,,321.93,,
asl-recognition-0004,396.32,,,,,,367.07,,,267.73,,,,,,297.13,,,390.15,,,,,,361.82,,,267.73,,,,,,297.13,,,375.59,,,,,,359.39,,,267.73,,,,,,297.13,,,394.82,,,,,,382.46,,,267.73,,,,,,297.13,,,381.21,,,,,,386.16,,,267.73,,,,,,297.13,,
bert-base-ner,292.83,182.91,127.71,,,,687.72,1130.0,398.95,298.04,205.27,146.19,,,,868.44,692.11,337.9,293.28,183.46,126.35,,,,688.94,1133.91,393.37,298.04,205.27,146.19,,,,868.44,692.11,337.9,292.9,167.91,126.64,,,,1062.98,1229.34,495.74,298.04,205.27,146.19,,,,868.44,692.11,337.9,463.27,429.99,225.05,,,,1352.17,1211.96,488.87,298.04,205.27,146.19,,,,868.44,692.11,337.9,473.86,439.49,239.61,,,,1689.19,1355.1,541.98,298.04,205.27,146.19,,,,868.44,692.11,337.9
bert-base-uncased-cola,,182.98,127.25,,638.1,329.71,,1134.88,408.79,,201.86,138.82,,642.66,332.01,,631.69,336.72,,183.0,125.72,,647.6,343.02,,1139.25,396.46,,201.86,138.82,,642.66,332.01,,631.69,336.72,,168.28,132.72,,618.13,342.8,,1237.95,492.24,,201.86,138.82,,642.66,332.01,,631.69,336.72,,424.77,225.73,,1196.14,500.95,,1220.07,485.13,,201.86,138.82,,642.66,332.01,,631.69,336.72,,435.89,233.86,,1409.54,502.9,,1455.87,536.5,,201.86,138.82,,642.66,332.01,,631.69,336.72
bert-small-uncased-whole-word-masking-squad-0002,307.88,228.88,173.08,,,,520.84,617.92,302.75,256.1,223.35,163.72,,,,633.02,499.0,301.29,307.32,228.18,189.28,,,,519.51,618.16,308.28,256.1,223.35,163.72,,,,633.02,499.0,301.29,279.38,213.08,173.91,,,,723.48,693.08,351.7,256.1,223.35,163.72,,,,633.02,499.0,301.29,433.84,403.65,283.13,,,,769.16,725.53,345.85,256.1,223.35,163.72,,,,633.02,499.0,301.29,454.64,422.53,308.7,,,,937.78,848.02,376.34,256.1,223.35,163.72,,,,633.02,499.0,301.29
bert_emd_4layer,,749.17,609.28,,,,,1631.69,1503.49,,749.92,567.14,,,,,1589.84,1472.76,,748.77,615.93,,,,,1639.05,1477.67,,749.92,567.14,,,,,1589.84,1472.76,,667.38,611.48,,,,,1658.42,1480.94,,749.92,567.14,,,,,1589.84,1472.76,,1047.91,804.68,,,,,1680.93,1487.22,,749.92,567.14,,,,,1589.84,1472.76,,1080.57,828.14,,,,,1704.14,1532.19,,749.92,567.14,,,,,1589.84,1472.76
cgan_mnist,,3365.02,,,,,,-1.0,,,3411.86,,,,,,-1.0,,,3354.07,,,,,,-1.0,,,3411.86,,,,,,-1.0,,,3369.75,,,,,,-1.0,,,3411.86,,,,,,-1.0,,,3059.03,,,,,,-1.0,,,3411.86,,,,,,-1.0,,,2777.6,,,,,,-1.0,,,3411.86,,,,,,-1.0,
colorization-siggraph,482.56,285.38,,,,,850.29,452.29,,197.74,112.62,,,,,229.77,32.4,,491.27,287.92,,,,,847.11,450.88,,197.74,112.62,,,,,229.77,32.4,,518.73,296.8,,,,,849.66,427.73,,197.74,112.62,,,,,229.77,32.4,,517.86,297.49,,,,,841.79,426.78,,197.74,112.62,,,,,229.77,32.4,,555.41,314.51,,,,,845.66,421.15,,197.74,112.62,,,,,229.77,32.4,
common-sign-language-0002,661.47,681.59,,,,,910.22,885.79,,419.02,314.63,,,,,585.45,238.04,,657.03,682.72,,,,,909.86,895.79,,419.02,314.63,,,,,585.45,238.04,,641.61,668.29,,,,,899.93,895.24,,419.02,314.63,,,,,585.45,238.04,,658.57,672.46,,,,,996.2,902.69,,419.02,314.63,,,,,585.45,238.04,,652.13,638.86,,,,,997.33,906.51,,419.02,314.63,,,,,585.45,238.04,
cpm-pose,,152.89,61.85,,,,,487.43,66.17,,114.36,61.45,,,,,46.19,68.47,,153.74,62.28,,,,,478.2,72.91,,114.36,61.45,,,,,46.19,68.47,,150.15,66.05,,,,,489.29,73.07,,114.36,61.45,,,,,46.19,68.47,,151.11,65.37,,,,,494.93,72.89,,114.36,61.45,,,,,46.19,68.47,,154.24,66.93,,,,,485.3,75.02,,114.36,61.45,,,,,46.19,68.47
crnn-tf,,200.26,,,,,,3261.97,,,162.39,,,,,,2206.02,,,195.83,,,,,,3171.13,,,162.39,,,,,,2206.02,,,195.45,,,,,,2823.5,,,162.39,,,,,,2206.02,,,194.31,,,,,,2873.88,,,162.39,,,,,,2206.02,,,228.22,,,,,,2770.52,,,162.39,,,,,,2206.02,
ctpn,105.95,82.08,34.95,179.74,143.88,36.35,199.39,159.31,-1.0,85.78,48.95,34.04,109.28,72.57,35.79,109.51,68.42,-1.0,106.13,82.6,35.06,182.44,142.26,37.3,243.1,159.03,-1.0,85.78,48.95,34.04,109.28,72.57,35.79,109.51,68.42,-1.0,99.05,83.37,34.18,173.68,143.47,37.83,207.99,157.42,-1.0,85.78,48.95,34.04,109.28,72.57,35.79,109.51,68.42,-1.0,102.72,83.44,34.3,174.44,150.1,38.12,241.78,157.84,-1.0,85.78,48.95,34.04,109.28,72.57,35.79,109.51,68.42,-1.0,99.93,75.77,36.92,214.11,165.95,39.15,237.33,183.63,-1.0,85.78,48.95,34.04,109.28,72.57,35.79,109.51,68.42,-1.0
deeplabv3-mobilenetv3,256.26,233.78,156.79,,,,338.46,314.12,179.26,226.94,198.04,148.84,,,,251.1,133.98,178.42,255.97,232.8,156.64,,,,338.0,311.78,179.9,226.94,198.04,148.84,,,,251.1,133.98,178.42,256.74,231.86,156.36,,,,338.95,310.27,179.75,226.94,198.04,148.84,,,,251.1,133.98,178.42,261.2,232.36,156.56,,,,349.2,318.03,179.58,226.94,198.04,148.84,,,,251.1,133.98,178.42,264.73,236.51,168.32,,,,352.85,315.98,184.43,226.94,198.04,148.84,,,,251.1,133.98,178.42
deeplabv3-onnx,,216.09,,,,,,484.39,,,129.28,,,,,,68.29,,,227.55,,,,,,486.61,,,129.28,,,,,,68.29,,,224.03,,,,,,481.77,,,129.28,,,,,,68.29,,,224.26,,,,,,480.87,,,129.28,,,,,,68.29,,,225.13,,,,,,494.88,,,129.28,,,,,,68.29,
denoise,294.67,298.11,,,,,403.11,437.69,,250.18,194.71,,,,,213.73,-1.0,,290.64,299.22,,,,,400.31,436.13,,250.18,194.71,,,,,213.73,-1.0,,282.63,297.42,,,,,413.2,440.64,,250.18,194.71,,,,,213.73,-1.0,,282.95,297.66,,,,,302.74,312.19,,250.18,194.71,,,,,213.73,-1.0,,302.62,306.54,,,,,303.02,308.49,,250.18,194.71,,,,,213.73,-1.0,
densenet-161,380.9,290.75,132.6,,,,1641.46,867.44,482.07,413.61,180.49,123.72,,,,1567.05,405.03,473.36,395.73,304.92,134.32,,,,1643.71,869.99,491.43,413.61,180.49,123.72,,,,1567.05,405.03,473.36,397.74,308.8,139.89,,,,1647.71,863.57,491.19,413.61,180.49,123.72,,,,1567.05,405.03,473.36,404.37,308.77,138.2,,,,1779.86,950.37,483.78,413.61,180.49,123.72,,,,1567.05,405.03,473.36,423.64,328.34,138.54,,,,1950.59,885.41,524.04,413.61,180.49,123.72,,,,1567.05,405.03,473.36
densenet-169,623.24,509.1,189.65,,,,3489.15,1201.29,931.76,523.26,246.3,178.54,,,,2560.12,655.14,891.42,628.85,522.32,189.55,,,,3468.82,1197.8,944.94,523.26,246.3,178.54,,,,2560.12,655.14,891.42,643.9,521.7,189.79,,,,3425.62,1173.69,942.88,523.26,246.3,178.54,,,,2560.12,655.14,891.42,649.6,522.88,189.76,,,,3555.83,1438.32,930.26,523.26,246.3,178.54,,,,2560.12,655.14,891.42,653.0,550.02,194.56,,,,3795.91,1445.24,1021.63,523.26,246.3,178.54,,,,2560.12,655.14,891.42
dla-102,1126.65,808.74,248.35,,,,4526.51,2771.76,559.46,620.96,355.24,233.31,,,,2162.9,928.73,557.17,1119.14,832.15,248.38,,,,4545.08,2807.5,595.3,620.96,355.24,233.31,,,,2162.9,928.73,557.17,1122.62,829.51,248.8,,,,4543.2,2691.12,596.51,620.96,355.24,233.31,,,,2162.9,928.73,557.17,1120.93,832.41,248.61,,,,4542.63,2688.45,587.61,620.96,355.24,233.31,,,,2162.9,928.73,557.17,1153.43,860.85,255.51,,,,4617.3,2879.61,627.69,620.96,355.24,233.31,,,,2162.9,928.73,557.17
dla-46xc,2627.88,2307.27,,,,,4332.7,5485.82,,2367.36,1778.99,,,,,7794.66,2344.6,,2654.57,2350.59,,,,,4186.11,5437.83,,2367.36,1778.99,,,,,7794.66,2344.6,,2678.9,2430.59,,,,,4876.59,5479.27,,2367.36,1778.99,,,,,7794.66,2344.6,,2704.78,2435.25,,,,,5193.49,5442.6,,2367.36,1778.99,,,,,7794.66,2344.6,,2864.65,2600.82,,,,,4834.01,5980.4,,2367.36,1778.99,,,,,7794.66,2344.6,
dna_r9.4.1@v3,,4.48,2.89,,,,,-1.0,-1.0,,4.16,2.84,,,,,-1.0,-1.0,,4.49,2.9,,,,,-1.0,-1.0,,4.16,2.84,,,,,-1.0,-1.0,,4.47,2.9,,,,,-1.0,-1.0,,4.16,2.84,,,,,-1.0,-1.0,,4.17,2.52,,,,,-1.0,-1.0,,4.16,2.84,,,,,-1.0,-1.0,,4.37,2.67,,,,,-1.0,-1.0,,4.16,2.84,,,,,-1.0,-1.0
driver-action-recognition-adas-0002-decoder,1376.81,1721.54,847.74,,,,-1.0,-1.0,-1.0,1082.74,1602.3,1077.85,,,,-1.0,-1.0,-1.0,1426.52,1817.79,892.73,,,,-1.0,-1.0,-1.0,1082.74,1602.3,1077.85,,,,-1.0,-1.0,-1.0,1988.93,2459.99,827.48,,,,-1.0,-1.0,-1.0,1082.74,1602.3,1077.85,,,,-1.0,-1.0,-1.0,2185.36,2552.28,839.9,,,,-1.0,-1.0,-1.0,1082.74,1602.3,1077.85,,,,-1.0,-1.0,-1.0,2064.3,2586.46,1066.92,,,,-1.0,-1.0,-1.0,1082.74,1602.3,1077.85,,,,-1.0,-1.0,-1.0
east_resnet_v1_50,153.78,98.08,20.8,,,,-1.0,-1.0,-1.0,90.19,42.95,20.66,,,,-1.0,-1.0,-1.0,154.66,99.1,20.86,,,,-1.0,-1.0,-1.0,90.19,42.95,20.66,,,,-1.0,-1.0,-1.0,157.14,97.85,20.9,,,,-1.0,-1.0,-1.0,90.19,42.95,20.66,,,,-1.0,-1.0,-1.0,156.64,98.06,20.85,,,,-1.0,-1.0,-1.0,90.19,42.95,20.66,,,,-1.0,-1.0,-1.0,167.13,103.25,21.22,,,,-1.0,-1.0,-1.0,90.19,42.95,20.66,,,,-1.0,-1.0,-1.0
efficientnet-b0,1289.58,1386.45,748.85,4184.62,4507.4,2606.75,5031.77,4722.61,2876.15,1180.93,816.93,605.68,3448.67,3261.95,2411.81,3853.12,4035.4,2776.83,1236.87,1446.37,751.51,4385.49,4552.26,2589.83,5186.93,4853.0,2871.72,1180.93,816.93,605.68,3448.67,3261.95,2411.81,3853.12,4035.4,2776.83,1308.7,1475.35,749.48,3977.87,4471.22,2596.95,5384.58,4598.73,2952.64,1180.93,816.93,605.68,3448.67,3261.95,2411.81,3853.12,4035.4,2776.83,1349.68,1454.02,751.05,6360.58,5198.11,2677.69,7418.24,4810.5,2932.91,1180.93,816.93,605.68,3448.67,3261.95,2411.81,3853.12,4035.4,2776.83,1407.84,1507.04,781.28,5839.54,4559.17,2912.96,7214.44,4797.07,3339.51,1180.93,816.93,605.68,3448.67,3261.95,2411.81,3853.12,4035.4,2776.83
