name,b1fps_int8_22WW51.1,b1fps_cldnn_int8_22WW51.1,b32fps_int8_22WW51.1,b32fps_cldnn_int8_22WW51.1,b1fps_fp16_22WW51.1,b1fps_cldnn_fp16_22WW51.1,b32fps_fp16_22WW51.1,b32fps_cldnn_fp16_22WW51.1,b1fps_fp32_22WW51.1,b1fps_cldnn_fp32_22WW51.1,b32fps_fp32_22WW51.1,b32fps_cldnn_fp32_22WW51.1,b1fps_int8_23WW01.4,b1fps_cldnn_int8_23WW01.4,b32fps_int8_23WW01.4,b32fps_cldnn_int8_23WW01.4,b1fps_fp16_23WW01.4,b1fps_cldnn_fp16_23WW01.4,b32fps_fp16_23WW01.4,b32fps_cldnn_fp16_23WW01.4,b1fps_fp32_23WW01.4,b1fps_cldnn_fp32_23WW01.4,b32fps_fp32_23WW01.4,b32fps_cldnn_fp32_23WW01.4
rcan,24.46,20.2,27.99,-1.0,23.02,11.95,-1.0,-1.0,6.38,6.27,-1.0,-1.0,24.47,20.2,27.91,-1.0,22.76,11.95,-1.0,-1.0,6.43,6.27,-1.0,-1.0
refinenet,,,,,238.46,110.48,748.15,178.75,,,,,,,,,239.59,110.48,769.43,178.75,,,,
resmlp-12-distilled-224,847.69,677.81,2164.43,2599.02,670.79,557.62,2651.01,1943.37,,,,,850.21,677.81,2166.47,2599.02,669.96,557.62,2635.58,1943.37,,,,
resnest-101-pytorch,324.65,277.32,1146.63,958.15,314.72,197.62,741.84,-1.0,151.24,141.92,-1.0,-1.0,333.44,277.32,1144.83,958.15,316.5,197.62,740.67,-1.0,151.14,141.92,-1.0,-1.0
resnest-50-pytorch,679.44,546.54,2177.79,1957.88,625.62,408.18,1679.67,779.26,,,,,676.94,546.54,2173.6,1957.88,632.12,408.18,1651.11,779.26,,,,
resnet-152,807.26,301.47,4360.59,1644.08,549.08,226.4,2547.82,927.09,,,,,813.47,301.47,4427.14,1644.08,550.99,226.4,2609.31,927.09,,,,
resnet-18,3788.63,3311.46,19498.19,8845.91,2745.52,1354.53,12805.88,4948.63,1024.65,1019.91,2695.57,2622.89,3872.28,3311.46,21041.45,8845.91,2773.2,1354.53,12852.61,4948.63,1036.6,1019.91,2692.52,2622.89
resnet-34-pytorch,2515.14,1745.1,13473.41,4938.17,1671.93,711.4,7894.82,2540.23,,,,,2608.02,1745.1,13482.8,4938.17,1778.04,711.4,8271.54,2540.23,,,,
resnet-50,2047.57,1080.69,9430.46,4244.21,1456.63,648.61,5721.43,1936.44,464.18,420.31,1008.27,1137.94,2043.69,1080.69,9463.8,4244.21,1447.45,648.61,5679.46,1936.44,438.48,420.31,1031.7,1137.94
resnet_v1.5_50,1937.25,921.54,8483.2,3997.44,,,,,,,,,1917.12,921.54,8513.98,3997.44,,,,,,,,
resnext101-32x16d-swsl,464.27,260.08,1690.85,-1.0,234.93,131.48,967.26,-1.0,,,,,490.27,260.08,1721.65,-1.0,241.95,131.48,997.2,-1.0,,,,
rexnet-v1-x1.0,605.7,592.69,-1.0,-1.0,808.3,549.44,-1.0,-1.0,,,,,572.07,592.69,-1.0,-1.0,804.95,549.44,-1.0,-1.0,,,,
rfcn-resnet101-coco,163.2,111.77,258.42,115.08,117.91,82.25,235.21,-1.0,,,,,173.53,111.77,257.63,115.08,119.13,82.25,237.2,-1.0,,,,
rnnt_joint,13020.72,11887.82,216010.54,191569.38,13641.73,12677.46,148722.39,201210.77,,,,,13221.13,11887.82,211529.43,191569.38,13345.03,12677.46,145923.63,201210.77,,,,
roberta-base-cola,,,,,183.28,217.69,1136.38,669.42,,,,,,,,,183.51,217.69,1137.58,669.42,,,,
se-resnext-50,109.68,136.47,787.74,847.23,161.87,172.38,723.74,695.27,118.94,165.74,492.36,490.86,108.46,136.47,792.32,847.23,169.68,172.38,730.5,695.27,118.94,165.74,493.16,490.86
sharpen,300.28,290.62,471.36,352.2,297.76,202.64,444.23,-1.0,,,,,302.25,290.62,469.09,352.2,298.5,202.64,445.73,-1.0,,,,
ssd-mobilenet-v1-coco,2013.03,1187.0,7306.19,6023.36,1765.53,1107.18,5075.54,2861.94,880.18,836.18,2416.8,2374.95,2075.59,1187.0,7410.6,6023.36,1731.7,1107.18,5066.68,2861.94,883.56,836.18,2416.81,2374.95
ssd512,122.9,123.98,168.53,129.86,118.22,101.56,151.0,86.48,,,,,119.52,123.98,168.88,129.86,120.3,101.56,150.62,86.48,,,,
ssd_mobilenet_v1_coco-tf,2034.2,865.66,7298.87,6460.47,,,,,,,,,2088.72,865.66,7381.13,6460.47,,,,,,,,
ssd_mobilenet_v1_fpn_coco,339.28,147.64,659.49,301.63,213.14,99.49,437.48,121.24,,,,,332.53,147.64,661.44,301.63,217.19,99.49,439.25,121.24,,,,
tdnn,,,,,1981.53,1653.28,-1.0,-1.0,,,,,,,,,1998.05,1653.28,-1.0,-1.0,,,,
ted_lstm_ld5,,,,,1213.72,884.41,-1.0,-1.0,,,,,,,,,1284.91,884.41,-1.0,-1.0,,,,
tedlium_dnn4_smbr,,,,,3422.98,3397.7,30393.89,36108.47,,,,,,,,,3281.11,3397.7,30938.56,36108.47,,,,
text-detection-0003,363.77,237.64,437.32,339.38,267.97,136.71,278.99,-1.0,,,,,372.25,237.64,437.6,339.38,267.81,136.71,299.9,-1.0,,,,
text-detection-0004,392.72,301.01,479.24,466.81,303.97,199.37,359.02,-1.0,,,,,400.39,301.01,480.22,466.81,304.81,199.37,357.73,-1.0,,,,
text-recognition-0012,87.79,78.74,-1.0,-1.0,86.56,73.6,1420.96,992.2,,,,,87.04,78.74,-1.0,-1.0,86.11,73.6,1433.81,992.2,,,,
text-spotting-0003-detector,,,,,40.07,22.13,-1.0,-1.0,,,,,,,,,39.72,22.13,-1.0,-1.0,,,,
text-to-speech-en-multi-0001-duration-prediction,233.84,126.56,-1.0,-1.0,211.34,10.47,-1.0,-1.0,,,,,233.65,126.56,-1.0,-1.0,212.77,10.47,-1.0,-1.0,,,,
unet-2d,503.83,454.69,739.02,746.51,455.35,522.6,650.48,603.71,402.9,368.7,439.93,437.44,505.63,454.69,739.21,746.51,459.68,522.6,649.5,603.71,399.36,368.7,438.59,437.44
unet3d_mlperf,0.22,0.14,-1.0,-1.0,0.21,0.14,-1.0,-1.0,,,,,0.22,0.14,-1.0,-1.0,0.25,0.14,-1.0,-1.0,,,,
vehicle-attributes-recognition-barrier-0042,3957.21,6129.65,64623.46,45860.9,3510.16,1722.43,47205.85,20219.95,,,,,3981.89,6129.65,68088.36,45860.9,3450.57,1722.43,49324.01,20219.95,,,,
vehicle-detection-adas-0002,1035.52,1186.52,2751.62,2235.63,935.45,933.5,2119.71,1738.1,,,,,1053.72,1186.52,2258.08,2235.63,947.94,933.5,2119.14,1738.1,,,,
vehicle-reid-0001,634.9,622.84,1799.59,1542.35,655.84,657.37,2014.77,1418.01,,,,,646.77,622.84,1824.92,1542.35,727.16,657.37,2024.46,1418.01,,,,
vgg16,1241.23,879.57,4440.17,1254.57,644.14,529.34,2302.44,703.57,,,,,1257.31,879.57,4558.27,1254.57,645.42,529.34,2302.66,703.57,,,,
vggvox,,,,,979.36,364.74,2419.78,473.81,,,,,,,,,971.48,364.74,2422.01,473.81,,,,
videosr-tlv2-cg,120.94,140.33,184.41,-1.0,110.0,89.22,184.66,-1.0,,,,,120.18,140.33,184.18,-1.0,111.27,89.22,185.81,-1.0,,,,
videosr-tlv2-std,143.65,153.48,254.27,-1.0,109.38,90.66,184.41,-1.0,,,,,145.45,153.48,253.66,-1.0,110.96,90.66,184.9,-1.0,,,,
wdsr,451.9,334.97,841.48,406.24,258.54,226.08,583.62,236.39,134.34,131.12,131.14,130.51,458.35,334.97,833.96,406.24,272.76,226.08,584.28,236.39,135.42,131.12,131.95,130.51
wdsr-small-x4,450.97,321.12,834.53,374.69,258.83,211.91,584.46,217.94,124.18,124.35,129.14,130.43,458.67,321.12,833.1,374.69,272.7,211.91,583.21,217.94,120.46,124.35,126.94,130.43
weld-porosity-detection-0001,3844.37,3275.11,19111.14,8091.29,2741.31,1329.03,12943.94,4755.67,,,,,3896.81,3275.11,19217.41,8091.29,2629.41,1329.03,13229.95,4755.67,,,,
yolact-darknet53-fpn-pytorch,177.02,143.51,326.74,165.66,147.32,91.31,262.98,95.04,,,,,179.87,143.51,326.19,165.66,148.08,91.31,263.05,95.04,,,,
yolo-v2-ava-sparse-35-0001,932.59,701.29,3358.61,975.47,517.61,420.32,1914.01,562.91,,,,,955.84,701.29,3378.17,975.47,516.07,420.32,1933.32,562.91,,,,
yolo-v2-noregion,,,,,500.67,406.4,1881.67,553.5,,,,,,,,,507.6,406.4,1889.33,553.5,,,,
yolo-v2-tiny-ava-sparse-30-0001,2126.96,2013.58,5427.21,2963.46,1500.2,725.22,4404.88,1447.89,,,,,2048.77,2013.58,5433.79,2963.46,1501.11,725.22,4832.64,1447.89,,,,
yolo-v3,,,,,298.26,197.15,729.5,239.26,,,,,,,,,295.42,197.15,749.39,239.26,,,,
yolo_v3_tiny,1861.68,1833.5,2615.88,2489.06,1587.28,1354.76,3041.62,1602.7,1013.9,925.13,1139.05,1119.15,1857.91,1833.5,2525.45,2489.06,1586.93,1354.76,2940.73,1602.7,1004.02,925.13,1123.27,1119.15
yolo_v4,163.85,148.4,419.69,196.93,145.29,92.18,313.54,-1.0,54.94,50.96,-1.0,-1.0,164.32,148.4,419.95,196.93,149.94,92.18,312.5,-1.0,54.49,50.96,-1.0,-1.0
yolo_v4-int8-tf,163.91,155.61,421.71,218.78,,,,,,,,,163.56,155.61,419.67,218.78,,,,,,,,
