name,b1fps_int8_22WW51.1,b1fps_fp16_22WW51.1,b1fps_fp32_22WW51.1,b16fps_int8_22WW51.1,b16fps_fp16_22WW51.1,b16fps_fp32_22WW51.1,b32fps_int8_22WW51.1,b32fps_fp16_22WW51.1,b32fps_fp32_22WW51.1,b1fps_cldnn_int8_22WW51.1,b1fps_cldnn_fp16_22WW51.1,b1fps_cldnn_fp32_22WW51.1,b16fps_cldnn_int8_22WW51.1,b16fps_cldnn_fp16_22WW51.1,b16fps_cldnn_fp32_22WW51.1,b32fps_cldnn_int8_22WW51.1,b32fps_cldnn_fp16_22WW51.1,b32fps_cldnn_fp32_22WW51.1,b1fps_int8_23WW01.4,b1fps_fp16_23WW01.4,b1fps_fp32_23WW01.4,b16fps_int8_23WW01.4,b16fps_fp16_23WW01.4,b16fps_fp32_23WW01.4,b32fps_int8_23WW01.4,b32fps_fp16_23WW01.4,b32fps_fp32_23WW01.4,b1fps_cldnn_int8_23WW01.4,b1fps_cldnn_fp16_23WW01.4,b1fps_cldnn_fp32_23WW01.4,b16fps_cldnn_int8_23WW01.4,b16fps_cldnn_fp16_23WW01.4,b16fps_cldnn_fp32_23WW01.4,b32fps_cldnn_int8_23WW01.4,b32fps_cldnn_fp16_23WW01.4,b32fps_cldnn_fp32_23WW01.4,b1fps_int8_23WW03.4,b1fps_fp16_23WW03.4,b1fps_fp32_23WW03.4,b16fps_int8_23WW03.4,b16fps_fp16_23WW03.4,b16fps_fp32_23WW03.4,b32fps_int8_23WW03.4,b32fps_fp16_23WW03.4,b32fps_fp32_23WW03.4,b1fps_cldnn_int8_23WW03.4,b1fps_cldnn_fp16_23WW03.4,b1fps_cldnn_fp32_23WW03.4,b16fps_cldnn_int8_23WW03.4,b16fps_cldnn_fp16_23WW03.4,b16fps_cldnn_fp32_23WW03.4,b32fps_cldnn_int8_23WW03.4,b32fps_cldnn_fp16_23WW03.4,b32fps_cldnn_fp32_23WW03.4,b1fps_int8_23WW06.1,b1fps_fp16_23WW06.1,b1fps_fp32_23WW06.1,b16fps_int8_23WW06.1,b16fps_fp16_23WW06.1,b16fps_fp32_23WW06.1,b32fps_int8_23WW06.1,b32fps_fp16_23WW06.1,b32fps_fp32_23WW06.1,b1fps_cldnn_int8_23WW06.1,b1fps_cldnn_fp16_23WW06.1,b1fps_cldnn_fp32_23WW06.1,b16fps_cldnn_int8_23WW06.1,b16fps_cldnn_fp16_23WW06.1,b16fps_cldnn_fp32_23WW06.1,b32fps_cldnn_int8_23WW06.1,b32fps_cldnn_fp16_23WW06.1,b32fps_cldnn_fp32_23WW06.1
face-detection-0205,,489.34,428.23,,2046.6,1133.49,,2134.89,1210.7,,333.27,358.66,,1361.73,1124.16,,1511.28,1156.11,,498.83,422.85,,1702.57,1132.0,,2137.5,1267.3,,333.27,358.66,,1361.73,1124.16,,1511.28,1156.11,,485.14,428.56,,1862.85,1169.35,,2087.33,1201.67,,333.27,358.66,,1361.73,1124.16,,1511.28,1156.11,,483.92,426.97,,1867.11,1134.7,,2142.43,1313.17,,333.27,358.66,,1361.73,1124.16,,1511.28,1156.11
faceboxes,1174.4,966.56,604.4,,,,815.29,852.54,946.09,1301.37,910.21,698.96,,,,1328.77,942.14,981.05,1184.76,892.02,594.85,,,,849.05,854.59,939.3,1301.37,910.21,698.96,,,,1328.77,942.14,981.05,1180.72,1051.99,621.82,,,,852.33,851.82,932.32,1301.37,910.21,698.96,,,,1328.77,942.14,981.05,1161.7,1073.52,604.39,,,,846.19,1294.87,935.29,1301.37,910.21,698.96,,,,1328.77,942.14,981.05
facial-landmarks-35-adas-0002,1126.03,1108.53,684.94,13804.84,14252.48,10350.57,25355.44,27183.93,19232.41,1156.52,1072.61,1036.34,13017.02,12200.05,16628.07,26818.49,21690.46,32078.92,1089.67,1045.78,684.03,13877.21,13270.01,10339.96,25395.21,26407.49,19199.52,1156.52,1072.61,1036.34,13017.02,12200.05,16628.07,26818.49,21690.46,32078.92,1072.83,1067.44,685.01,13793.65,13425.07,10356.46,25977.8,26039.2,19218.58,1156.52,1072.61,1036.34,13017.02,12200.05,16628.07,26818.49,21690.46,32078.92,1050.37,1046.89,682.61,13458.69,12984.62,10306.26,25776.63,25761.1,19165.87,1156.52,1072.61,1036.34,13017.02,12200.05,16628.07,26818.49,21690.46,32078.92
faster_rcnn_inception_v2_coco,192.42,161.7,73.1,,,,229.3,230.74,-1.0,219.22,111.36,83.23,,,,235.77,162.75,-1.0,195.53,163.85,73.66,,,,231.39,233.36,-1.0,219.22,111.36,83.23,,,,235.77,162.75,-1.0,153.8,167.19,74.34,,,,154.04,213.38,-1.0,219.22,111.36,83.23,,,,235.77,162.75,-1.0,152.49,166.11,85.99,,,,153.29,210.37,-1.0,219.22,111.36,83.23,,,,235.77,162.75,-1.0
faster_rcnn_resnet50_coco,,26.84,10.09,,,,,-1.0,-1.0,,16.39,10.69,,,,,-1.0,-1.0,,26.97,10.12,,,,,-1.0,-1.0,,16.39,10.69,,,,,-1.0,-1.0,,27.4,10.24,,,,,-1.0,-1.0,,16.39,10.69,,,,,-1.0,-1.0,,27.35,10.7,,,,,-1.0,-1.0,,16.39,10.69,,,,,-1.0,-1.0
fastseg-large,33.36,33.72,10.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.56,20.26,11.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.25,34.14,10.81,43.21,-1.0,-1.0,-1.0,-1.0,-1.0,31.56,20.26,11.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.16,33.02,10.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.56,20.26,11.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.55,33.13,10.86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.56,20.26,11.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
fishnet-99,,753.85,361.51,,,,,1833.13,884.74,,578.33,371.83,,,,,1018.01,882.86,,764.63,387.72,,,,,1838.17,903.57,,578.33,371.83,,,,,1018.01,882.86,,764.71,387.48,,,,,1815.57,904.47,,578.33,371.83,,,,,1018.01,882.86,,763.2,360.84,,,,,1894.68,894.94,,578.33,371.83,,,,,1018.01,882.86
fsrcnn,1485.95,1587.98,1132.14,,,,2051.1,1993.72,1234.16,929.2,745.41,634.79,,,,1884.39,890.81,804.67,1508.54,1610.54,1138.43,,,,2053.45,1991.38,1239.78,929.2,745.41,634.79,,,,1884.39,890.81,804.67,1593.47,1593.05,1142.96,,,,2060.17,1989.38,1235.94,929.2,745.41,634.79,,,,1884.39,890.81,804.67,1595.08,1589.96,1144.08,,,,2061.83,1988.45,1247.23,929.2,745.41,634.79,,,,1884.39,890.81,804.67
googlenet-v1,,1246.93,477.81,,,,,5772.15,2076.5,,792.92,806.63,,,,,3655.3,2164.88,,1232.27,478.85,,,,,5778.01,2023.94,,792.92,806.63,,,,,3655.3,2164.88,,1248.41,483.94,,,,,5746.9,2114.45,,792.92,806.63,,,,,3655.3,2164.88,,1229.32,490.24,,,,,5903.1,2114.49,,792.92,806.63,,,,,3655.3,2164.88
googlenet-v3,841.59,647.76,250.97,,,,4252.35,2749.71,707.79,995.79,519.28,369.9,,,,2217.1,1103.15,657.01,886.94,680.2,251.41,,,,4341.85,2829.7,754.85,995.79,519.28,369.9,,,,2217.1,1103.15,657.01,912.27,681.33,251.58,,,,4404.06,2816.88,755.67,995.79,519.28,369.9,,,,2217.1,1103.15,657.01,898.61,682.68,252.32,,,,4343.41,2837.92,755.27,995.79,519.28,369.9,,,,2217.1,1103.15,657.01
handwritten-simplified-chinese-recognition-0001,385.52,246.82,,,,,-1.0,-1.0,,187.11,128.98,,,,,-1.0,-1.0,,389.16,246.24,,,,,-1.0,-1.0,,187.11,128.98,,,,,-1.0,-1.0,,417.28,245.89,,,,,-1.0,-1.0,,187.11,128.98,,,,,-1.0,-1.0,,485.0,249.24,,,,,-1.0,-1.0,,187.11,128.98,,,,,-1.0,-1.0,
horizontal-text-detection-0001,,309.71,254.4,,,,,831.13,418.57,,275.01,208.23,,,,,612.32,408.86,,314.55,260.83,,,,,831.06,420.95,,275.01,208.23,,,,,612.32,408.86,,316.69,255.97,,,,,818.14,420.41,,275.01,208.23,,,,,612.32,408.86,,315.96,255.67,,,,,837.55,420.72,,275.01,208.23,,,,,612.32,408.86
i3d-flow,93.1,68.89,13.13,,,,143.72,109.17,-1.0,40.21,30.6,12.77,,,,-1.0,-1.0,-1.0,93.09,69.15,13.46,,,,142.72,108.28,-1.0,40.21,30.6,12.77,,,,-1.0,-1.0,-1.0,94.68,69.03,13.26,,,,141.22,108.97,-1.0,40.21,30.6,12.77,,,,-1.0,-1.0,-1.0,94.68,69.24,13.27,,,,142.51,108.73,-1.0,40.21,30.6,12.77,,,,-1.0,-1.0,-1.0
icv-lprnet-with-detection-head,,2148.63,,,,,,-1.0,,,1367.73,,,,,,-1.0,,,2144.91,,,,,,-1.0,,,1367.73,,,,,,-1.0,,,2135.7,,,,,,-1.0,,,1367.73,,,,,,-1.0,,,2135.29,,,,,,-1.0,,,1367.73,,,,,,-1.0,
icv-reid-embedding,,3858.34,,,,,,39118.86,,,4228.8,,,,,,21585.82,,,3949.02,,,,,,38217.9,,,4228.8,,,,,,21585.82,,,4002.72,,,,,,38131.8,,,4228.8,,,,,,21585.82,,,3986.88,,,,,,40532.86,,,4228.8,,,,,,21585.82,
